The Alchemist,Paulo Coelho,Fantasy
To Kill a Mockingbird,Harper Lee,Classic
The Lord of the Rings,J.R.R. Tolkien,Fantasy
The Hunger Games,Suzanne Collins,Dystopian
Harry Potter and the Sorcerers Stone,J.K. Rowling,Fantasy
The Hitchhikers Guide to the Galaxy,Douglas Adams,Sci-Fi
Pride and Prejudice,Jane Austen,Classic
The Great Gatsby,F. Scott Fitzgerald,Classic
1984,George Orwell,Dystopian
The Catcher in the Rye,J.D. Salinger,Classic
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
The Martian,Andy Weir,Sci-Fi
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller
The Fault in Our Stars,John Green,Romance
